,SEMBAWANG,CLEMENTI,SERANGOON,NORTH-EASTERN ISLANDS,ROCHOR,MANDAI,BISHAN,DOWNTOWN CORE,ORCHARD,PASIR RIS,ANG MO KIO,WOODLANDS,WESTERN WATER CATCHMENT,HOUGANG,SINGAPORE RIVER,CHOA CHU KANG,SELETAR,JURONG EAST,PIONEER,CHANGI BAY,BEDOK,STRAITS VIEW,SIMPANG,RIVER VALLEY,GEYLANG,OUTRAM,TANGLIN,BUKIT MERAH,MARINA SOUTH,SUNGEI KADUT,NOVENA,TAMPINES,BUKIT BATOK,QUEENSTOWN,TUAS,CENTRAL WATER CATCHMENT,TENGAH,BUKIT PANJANG,MUSEUM,BOON LAY,CHANGI,NEWTON,SOUTHERN ISLANDS,SENGKANG,BUKIT TIMAH,TOA PAYOH,YISHUN,MARINE PARADE,PAYA LEBAR,PUNGGOL,LIM CHU KANG,WESTERN ISLANDS,MARINA EAST,JURONG WEST,KALLANG
BUKIT MERAH,0.580823392,0.832308726,0.772853451,0.419206276,0.9136416,0.654606908,0.818489071,0.931068963,0.941323884,0.622891511,0.758495432,0.60799284,0.60206668,0.747813167,0.957809735,0.6920352,0.655791541,0.77459452,0.640151582,0.507048387,0.733948267,0.927124161,0.602605549,0.953688088,0.819848709,0.964816805,0.933762124,1,0.910440923,0.636307545,0.886743424,0.657479528,0.760076265,0.915090742,0.554372104,0.765191527,0.702268774,0.76326451,0.93866195,0.706721739,0.554965481,0.926397909,0.949999284,0.694968946,0.861276713,0.840696881,0.677210622,0.827362638,0.714398206,0.637801722,0.564574129,0.731094896,0.89085523,0.68691742,0.878462208
MARINA SOUTH,0.578118113,0.745185369,0.810450326,0.512006511,0.949799585,0.637815639,0.825038464,0.985135062,0.918338778,0.704975401,0.768080443,0.585597394,0.523645026,0.805898867,0.950514619,0.632315573,0.691311258,0.68341271,0.541889889,0.609359448,0.829608679,0.986097285,0.619866165,0.92656195,0.901026153,0.956627376,0.879881468,0.910440923,1,0.592486131,0.880386227,0.751686898,0.690741053,0.816851707,0.451796297,0.735396025,0.6271874,0.708773026,0.955090651,0.610389113,0.653046229,0.919006841,0.899715775,0.742586297,0.797263891,0.878551813,0.683622357,0.925980077,0.790280682,0.695415725,0.508789925,0.628081656,0.988730381,0.598586839,0.94036039
SUNGEI KADUT,0.840188102,0.772287438,0.718385472,0.34228272,0.655270645,0.904305268,0.762388179,0.619344466,0.683361632,0.542958631,0.789826991,0.922884652,0.828728831,0.668254078,0.64576556,0.931801306,0.724547856,0.772952288,0.688380988,0.328371493,0.542921145,0.584451322,0.774863054,0.671262719,0.61836067,0.629998025,0.712860938,0.636307545,0.592486131,1,0.725212558,0.506297737,0.863696946,0.697099032,0.566617469,0.868619409,0.866195018,0.885057772,0.649597163,0.732039213,0.410491917,0.686624293,0.573360856,0.692510876,0.787475837,0.696182921,0.82158923,0.574828769,0.608295378,0.643782492,0.916820333,0.59241543,0.596715832,0.790467618,0.645681218
NOVENA,0.702066646,0.832241476,0.893040325,0.499354805,0.943882,0.768567053,0.945556994,0.90570204,0.958049595,0.713943159,0.885264775,0.71755069,0.637879235,0.855444463,0.924180488,0.758611956,0.781017399,0.770403872,0.619982613,0.552066053,0.788717525,0.868497884,0.72942623,0.944295661,0.882010685,0.906645376,0.951975264,0.886743424,0.880386227,0.725212558,1,0.724076099,0.807282595,0.861129467,0.512361244,0.868859972,0.741490891,0.835432109,0.934322248,0.6908276,0.617071123,0.969355821,0.82780955,0.814151688,0.90579698,0.947484766,0.802506812,0.853106392,0.806601117,0.75296448,0.638862674,0.656428807,0.885214053,0.696699862,0.929304425
TAMPINES,0.590665982,0.542461017,0.799228858,0.774189113,0.752394213,0.600361354,0.737987331,0.739160476,0.707295931,0.92907179,0.729607228,0.549346025,0.368409599,0.85146163,0.712231167,0.503941118,0.762294405,0.480984261,0.330413657,0.834676025,0.935878518,0.725140336,0.670714039,0.703584213,0.848536412,0.706193852,0.673290594,0.657479528,0.751686898,0.506297737,0.724076099,1,0.531288481,0.583691181,0.223247282,0.636108893,0.467190624,0.572801881,0.73013741,0.40121723,0.906862386,0.721170467,0.637835288,0.81712313,0.617683468,0.788416627,0.683233235,0.839413027,0.911853675,0.831730893,0.409329036,0.379871662,0.775964458,0.411660953,0.788320565
BUKIT BATOK,0.727887443,0.921295363,0.739561365,0.327896138,0.745430636,0.813987408,0.806700065,0.719447639,0.786199664,0.542775321,0.794688986,0.79466888,0.844373302,0.686823469,0.752192082,0.939787547,0.686229235,0.916527896,0.790834874,0.353806904,0.587249429,0.690849486,0.695390347,0.777567548,0.677527283,0.739771049,0.824170623,0.760076265,0.690741053,0.863696946,0.807282595,0.531288481,1,0.838464626,0.668541296,0.890759263,0.94804512,0.962213635,0.74924637,0.853405647,0.426140709,0.782940014,0.701547455,0.681253577,0.907299975,0.752926824,0.769352459,0.646749362,0.626904234,0.619927957,0.814436988,0.736113813,0.687013356,0.888788157,0.723203645
QUEENSTOWN,0.605119306,0.924413933,0.741995826,0.351297599,0.843874443,0.687866164,0.805864326,0.842327342,0.890228902,0.563478008,0.754803823,0.649699772,0.693728553,0.702798807,0.876929238,0.765180558,0.639005709,0.87193313,0.73831137,0.422201423,0.65617613,0.82945457,0.606587355,0.892507613,0.74891428,0.874092057,0.921563789,0.915090742,0.816851707,0.697099032,0.861129467,0.583691181,0.838464626,1,0.647125809,0.799752524,0.789249985,0.825082157,0.862745256,0.805456833,0.477824395,0.876242135,0.869569045,0.664014443,0.91449589,0.796552731,0.686077182,0.742529222,0.656680026,0.601575835,0.639051384,0.808061621,0.801669831,0.783656555,0.80876376
TUAS,0.398060298,0.69253403,0.410930812,0,0.478550512,0.478916755,0.481539499,0.476057447,0.52597134,0.216204439,0.454647871,0.477081971,0.733469272,0.361846674,0.510264674,0.639657942,0.34187212,0.749763668,0.890048084,0.056552662,0.29233324,0.467940443,0.352679198,0.526424203,0.386397949,0.508726314,0.56281606,0.554372104,0.451796297,0.566617469,0.512361244,0.223247282,0.668541296,0.647125809,1,0.546200133,0.707634543,0.616886351,0.496140016,0.827328692,0.116344739,0.513715152,0.533098706,0.343136411,0.614614868,0.446492969,0.424372738,0.375915802,0.306952161,0.280082652,0.596871021,0.816094507,0.435204275,0.786160086,0.44473069
CENTRAL WATER CATCHMENT,0.819184617,0.841600201,0.850503638,0.44597858,0.79897212,0.901016553,0.905650903,0.76127176,0.822207775,0.658296684,0.914660004,0.856669126,0.744115513,0.797431189,0.784634028,0.881588593,0.80928854,0.804145817,0.66786901,0.456922203,0.681432772,0.724997775,0.809273044,0.809129785,0.761851077,0.767904608,0.845168832,0.765191527,0.735396025,0.868619409,0.868859972,0.636108893,0.890759263,0.799752524,0.546200133,1,0.836067234,0.941737333,0.790925727,0.732237568,0.534406484,0.827826807,0.701352409,0.801826576,0.898984297,0.840294722,0.887616703,0.71975373,0.736213823,0.741877498,0.777194592,0.635957269,0.741131442,0.766365158,0.790897232
TENGAH,0.70383923,0.878483042,0.677692509,0.268487355,0.680418072,0.785061948,0.743049796,0.655921202,0.722301309,0.482018235,0.737117109,0.780726124,0.909846741,0.624572677,0.68942403,0.945279985,0.635332667,0.908588341,0.831314405,0.28918606,0.521868629,0.628838756,0.657195624,0.714398995,0.611779715,0.677916622,0.761128392,0.702268774,0.6271874,0.866195018,0.741490891,0.467190624,0.94804512,0.789249985,0.707634543,0.836067234,1,0.906666657,0.685328665,0.879710829,0.362656557,0.718211422,0.646923182,0.62402684,0.843464058,0.687533651,0.724942126,0.581051715,0.564068858,0.564442283,0.851839585,0.735241152,0.622420365,0.935289085,0.65752278
BUKIT PANJANG,0.773280453,0.891984504,0.784640715,0.37549706,0.768255695,0.859983335,0.848387438,0.736898544,0.803277505,0.589221086,0.843830537,0.832956455,0.809266186,0.731435176,0.766634277,0.936956025,0.737572418,0.869182815,0.73926341,0.394186854,0.624419106,0.704560337,0.746004818,0.792485147,0.711380561,0.752081631,0.836880596,0.76326451,0.708773026,0.885057772,0.835432109,0.572801881,0.962213635,0.825082157,0.616886351,0.941737333,0.906666657,1,0.767388536,0.801996885,0.46899086,0.803491565,0.701042741,0.73044345,0.915620443,0.789115726,0.8208183,0.675681124,0.670698492,0.669914435,0.812995695,0.692563168,0.708839557,0.83848805,0.751146643
MUSEUM,0.624133048,0.799648627,0.839826862,0.493085573,0.988531884,0.689037663,0.871265623,0.983359082,0.976889866,0.698071007,0.811393354,0.638066307,0.581584996,0.820740677,0.994598728,0.691031701,0.720126057,0.736995364,0.592020962,0.573096905,0.80516447,0.947853093,0.657699202,0.982654712,0.894265232,0.980550736,0.937379527,0.93866195,0.955090651,0.649597163,0.934322248,0.73013741,0.74924637,0.862745256,0.496140016,0.790925727,0.685328665,0.767388536,1,0.661652016,0.62595727,0.976816974,0.895517975,0.764323403,0.855646375,0.910029686,0.72695635,0.893636444,0.78956769,0.709685436,0.567128469,0.662905186,0.949407548,0.653934193,0.953610759
BOON LAY,0.573349609,0.872219935,0.595668917,0.18328103,0.647811824,0.657450327,0.666117668,0.6373045,0.695241902,0.399633908,0.64114455,0.647647074,0.849341367,0.545511789,0.6727072,0.812113716,0.528218135,0.933954273,0.943016975,0.229767597,0.466663993,0.621257509,0.535201077,0.69284518,0.560874479,0.667245838,0.734550719,0.706721739,0.610389113,0.732039213,0.6908276,0.40121723,0.853405647,0.805456833,0.827328692,0.732237568,0.879710829,0.801996885,0.661652016,1,0.294260371,0.685134733,0.668420616,0.529327139,0.796891927,0.62641051,0.608952325,0.543493045,0.489014958,0.466433092,0.732577944,0.856326354,0.597804011,0.949118565,0.616557746
CHANGI,0.512571431,0.435461587,0.697604143,0.861570766,0.647316597,0.509900999,0.633280346,0.637529375,0.601453211,0.876191258,0.630727793,0.461563579,0.265253277,0.750813338,0.608637208,0.402172663,0.68403425,0.37405474,0.223470858,0.925658567,0.834618823,0.627831119,0.597470056,0.598409079,0.742723905,0.603987786,0.566734364,0.554965481,0.653046229,0.410491917,0.617071123,0.906862386,0.426140709,0.477824395,0.116344739,0.534406484,0.362656557,0.46899086,0.62595727,0.294260371,1,0.614989316,0.541028108,0.730110629,0.510845857,0.681594342,0.595158513,0.740514105,0.811961052,0.763884012,0.313515433,0.275032455,0.676215344,0.305524136,0.682882804
NEWTON,0.657563099,0.82572706,0.860220682,0.488479462,0.97554145,0.724653894,0.902536937,0.946549589,0.997930981,0.698914032,0.842033381,0.674221822,0.614221607,0.832031663,0.968690771,0.726866716,0.743101767,0.762618973,0.614697826,0.556533122,0.792414825,0.911038174,0.68664923,0.986519365,0.886091511,0.951158931,0.96435331,0.926397909,0.919006841,0.686624293,0.969355821,0.721170467,0.782940014,0.876242135,0.513715152,0.827826807,0.718211422,0.803491565,0.976816974,0.685134733,0.614989316,1,0.870865442,0.781997817,0.888404233,0.926653042,0.758521776,0.871749858,0.79200812,0.723691201,0.603652268,0.671139735,0.917932128,0.682372222,0.944805956
SOUTHERN ISLANDS,0.518368644,0.780796526,0.72159473,0.3982045,0.871253208,0.591066525,0.759794257,0.905134181,0.883629366,0.591916535,0.699318184,0.544160981,0.5495973,0.704065464,0.912926003,0.631541595,0.602221548,0.728491656,0.606146447,0.503115303,0.715822399,0.926558003,0.543698584,0.897342636,0.789922752,0.92883391,0.870011135,0.949999284,0.899715775,0.573360856,0.82780955,0.637835288,0.701547455,0.869569045,0.533098706,0.701352409,0.646923182,0.701042741,0.895517975,0.668420616,0.541028108,0.870865442,1,0.646083125,0.799291297,0.791685301,0.616594225,0.812291456,0.679641491,0.592588332,0.503970124,0.722246637,0.874848793,0.640156128,0.841552401
SENGKANG,0.786511408,0.659617857,0.934912914,0.657402141,0.788650758,0.793657274,0.870109272,0.751116343,0.766377275,0.86431689,0.90039577,0.744599898,0.534821305,0.947290227,0.74616629,0.673939543,0.952837654,0.606981108,0.461509004,0.645307867,0.824790038,0.717237826,0.861701943,0.75501321,0.844773064,0.731064281,0.752397604,0.694968946,0.742586297,0.692510876,0.814151688,0.81712313,0.681253577,0.664014443,0.343136411,0.801826576,0.62402684,0.73044345,0.764323403,0.529327139,0.730110629,0.781997817,0.646083125,1,0.737018341,0.867743953,0.878622373,0.79421471,0.913150876,0.950154855,0.595937111,0.463951725,0.764292193,0.556179808,0.81468237
BUKIT TIMAH,0.704299547,0.935586962,0.809181107,0.399205294,0.850337648,0.787219937,0.87953173,0.825983319,0.892625249,0.615454893,0.840920344,0.747942141,0.739564617,0.761066049,0.858687183,0.843971289,0.722927504,0.876807003,0.726277637,0.444203999,0.680691549,0.797116108,0.701304967,0.884129419,0.773995884,0.845850243,0.930663423,0.861276713,0.797263891,0.787475837,0.90579698,0.617683468,0.907299975,0.91449589,0.614614868,0.898984297,0.843464058,0.915620443,0.855646375,0.796891927,0.510845857,0.888404233,0.799291297,0.737018341,1,0.843119861,0.781167932,0.748851136,0.705746982,0.673303701,0.71684038,0.737637845,0.792782414,0.804613753,0.825017604
TOA PAYOH,0.710271138,0.767185947,0.943438459,0.565739301,0.933498664,0.761604173,0.947516669,0.893296441,0.910739809,0.780132591,0.900014387,0.707610823,0.585672172,0.918852455,0.892200437,0.714721167,0.823360983,0.706265485,0.555671118,0.613612687,0.84818834,0.856628984,0.75518199,0.900355232,0.935240468,0.876711229,0.888795018,0.840696881,0.878551813,0.696182921,0.947484766,0.788416627,0.752926824,0.796552731,0.446492969,0.840294722,0.687533651,0.789115726,0.910029686,0.62641051,0.681594342,0.926653042,0.791685301,0.867743953,0.843119861,1,0.817039431,0.891702926,0.872951592,0.810773186,0.603621666,0.591038049,0.894994583,0.636303868,0.951053205
YISHUN,0.906597856,0.716171156,0.872955027,0.534511422,0.744765248,0.927955962,0.869476676,0.702762335,0.74675653,0.730938893,0.929178231,0.879781215,0.649381689,0.836326696,0.713819626,0.785696512,0.91681004,0.678437872,0.547455016,0.510062048,0.703125288,0.664685819,0.934006215,0.732952739,0.754637487,0.696328816,0.753611569,0.677210622,0.683622357,0.82158923,0.802506812,0.683233235,0.769352459,0.686077182,0.424372738,0.887616703,0.724942126,0.8208183,0.72695635,0.608952325,0.595158513,0.758521776,0.616594225,0.878622373,0.781167932,0.817039431,1,0.703210329,0.783202878,0.835684214,0.726984246,0.51042464,0.69833467,0.649290427,0.754399906
MARINE PARADE,0.596078325,0.683640738,0.843337857,0.599763284,0.909534178,0.640710881,0.825475563,0.910156155,0.862085279,0.787478251,0.78161895,0.586487864,0.477263645,0.860777892,0.878572311,0.599315366,0.73591835,0.620540416,0.473323911,0.692714949,0.917396573,0.899592123,0.652827589,0.863199251,0.961619214,0.876348239,0.822684787,0.827362638,0.925980077,0.574828769,0.853106392,0.839413027,0.646749362,0.742529222,0.375915802,0.71975373,0.581051715,0.675681124,0.893636444,0.543493045,0.740514105,0.871749858,0.812291456,0.79421471,0.748851136,0.891702926,0.703210329,1,0.864886785,0.759179131,0.48365859,0.545173777,0.949570515,0.540731228,0.937392208
PAYA LEBAR,0.686250277,0.628254292,0.899505485,0.706476783,0.814600329,0.701620488,0.833854348,0.788163553,0.776491709,0.920643316,0.831291865,0.649928227,0.467156839,0.952640451,0.770329656,0.603940052,0.853537864,0.568872986,0.418696844,0.733443291,0.922800117,0.762585834,0.761431638,0.769211054,0.903064438,0.759532214,0.748916436,0.714398206,0.790280682,0.608295378,0.806601117,0.911853675,0.626904234,0.656680026,0.306952161,0.736213823,0.564068858,0.670698492,0.78956769,0.489014958,0.811961052,0.79200812,0.679641491,0.913150876,0.705746982,0.872951592,0.783202878,0.864886785,1,0.902881851,0.511309483,0.450883151,0.815132001,0.504765947,0.849446163
PUNGGOL,0.762365242,0.595939403,0.873431565,0.71213336,0.734713905,0.750149232,0.806582894,0.700045974,0.70784028,0.901305865,0.838773768,0.706232937,0.47841818,0.902344683,0.690914452,0.617361151,0.93136733,0.543719811,0.399056824,0.676109189,0.813591804,0.668752331,0.847392691,0.697261944,0.805024697,0.676867087,0.69107025,0.637801722,0.695415725,0.643782492,0.75296448,0.831730893,0.619927957,0.601575835,0.280082652,0.741877498,0.564442283,0.669914435,0.709685436,0.466433092,0.763884012,0.723691201,0.592588332,0.950154855,0.673303701,0.810773186,0.835684214,0.759179131,0.902881851,1,0.548799107,0.40056809,0.718819487,0.494904198,0.764302664
LIM CHU KANG,0.765826907,0.72444666,0.621950409,0.248002547,0.569776671,0.81212247,0.669199079,0.536619068,0.602628902,0.446414818,0.693150668,0.846745215,0.877197604,0.571408667,0.565801764,0.886294583,0.630411409,0.74655857,0.709045226,0.231325302,0.447252683,0.503748505,0.689254001,0.591646505,0.525199845,0.551215001,0.636114494,0.564574129,0.508789925,0.916820333,0.638862674,0.409329036,0.814436988,0.639051384,0.596871021,0.777194592,0.851839585,0.812995695,0.567128469,0.732577944,0.313515433,0.603652268,0.503970124,0.595937111,0.71684038,0.603621666,0.726984246,0.48365859,0.511309483,0.548799107,1,0.578233421,0.510476638,0.79723691,0.556601469
WESTERN ISLANDS,0.452012463,0.808111128,0.540080661,0.145764592,0.641333667,0.538699914,0.607689034,0.648694627,0.685805425,0.357693725,0.564690131,0.51699681,0.692054443,0.498100592,0.679829766,0.674449653,0.446697239,0.832571506,0.839200041,0.224337881,0.4542032,0.648162584,0.431408794,0.690153996,0.545129008,0.682493483,0.71582439,0.731094896,0.628081656,0.59241543,0.656428807,0.379871662,0.736113813,0.808061621,0.816094507,0.635957269,0.735241152,0.692563168,0.662905186,0.856326354,0.275032455,0.671139735,0.722246637,0.463951725,0.737637845,0.591038049,0.51042464,0.545173777,0.450883151,0.40056809,0.578233421,1,0.608133357,0.792539543,0.605403799
MARINA EAST,0.591915021,0.735214934,0.829373432,0.536326064,0.954440232,0.648044002,0.836635808,0.97291693,0.913213526,0.730114527,0.782092974,0.595042186,0.518480196,0.828590601,0.938494404,0.631973893,0.711467298,0.672643366,0.528505742,0.630056798,0.853736647,0.960984813,0.637304634,0.918330932,0.925723856,0.93939901,0.873180598,0.89085523,0.988730381,0.596715832,0.885214053,0.775964458,0.687013356,0.801669831,0.435204275,0.741131442,0.622420365,0.708839557,0.949407548,0.597804011,0.676215344,0.917932128,0.874848793,0.764292193,0.792782414,0.894994583,0.69833467,0.949570515,0.815132001,0.718819487,0.510476638,0.608133357,1,0.589497831,0.957788319
JURONG WEST,0.625321485,0.867062801,0.616019235,0.203469854,0.644080735,0.706621774,0.684696384,0.626769898,0.689847155,0.418891044,0.669607791,0.70295182,0.909876608,0.563818766,0.661937425,0.866944825,0.562479471,0.92551405,0.909891262,0.236103831,0.471966189,0.605342479,0.579618909,0.68478923,0.564841036,0.653548583,0.730013281,0.68691742,0.598586839,0.790467618,0.696699862,0.411660953,0.888788157,0.783656555,0.786160086,0.766365158,0.935289085,0.83848805,0.653934193,0.949118565,0.305524136,0.682372222,0.640156128,0.556179808,0.804613753,0.636303868,0.649290427,0.540731228,0.504765947,0.494904198,0.79723691,0.792539543,0.589497831,1,0.616347311
KALLANG,0.647885163,0.757673558,0.883958483,0.552660061,0.977691852,0.702430429,0.891135062,0.949611794,0.932273604,0.758298452,0.838003307,0.64899685,0.553710617,0.875789808,0.9345196,0.67447765,0.764671445,0.694623187,0.545986872,0.625589905,0.861142715,0.916282143,0.69284765,0.929114756,0.953572165,0.923808065,0.895364461,0.878462208,0.94036039,0.645681218,0.929304425,0.788320565,0.723203645,0.80876376,0.44473069,0.790897232,0.65752278,0.751146643,0.953610759,0.616557746,0.682882804,0.944805956,0.841552401,0.81468237,0.825017604,0.951053205,0.754399906,0.937392208,0.849446163,0.764302664,0.556601469,0.605403799,0.957788319,0.616347311,1
